Degree,Theta,RMSE
0,[-0.00021858],-0.04104305740831518806
1,[ 0.01071591 -0.03902483],-0.051978112055703573624
2,[ 0.25925463 -0.05822019 -3.38966222],0.99197414455847077175
3,[ 0.26104558 -0.06875033 -3.38795191  0.06682074],0.9914639647741542161
4,[ 0.2566706  -0.06891989 -3.26845729  0.06224676 -0.67941022],0.9930007276639025715
5,[ 0.26192953 -0.07036153 -3.26817305  0.06053546 -0.67937946  0.02469969],0.99168889442707852666
6,"[ 0.26036411 -0.07002899 -3.26350808  0.06074589 -0.67796728  0.02477179
 -0.1387322 ]",0.9921483052393071933
7,"[ 0.2559459  -0.07022675 -3.26404942  0.0604199  -0.67806347  0.0246445
 -0.13874311  0.00763251]",0.99315739225581045613
8,"[ 0.25500757 -0.07012353 -3.26311021  0.06096875 -0.67797044  0.02480316
 -0.13874401  0.00767066 -0.02907787]",0.9932709054394217585
9,"[ 2.61649656e-01 -7.02038110e-02 -3.26316641e+00  6.05062183e-02
 -6.77848756e-01  2.46873411e-02 -1.38697811e-01  7.64479414e-03
 -2.90643321e-02  2.15767397e-03]",0.99176493606313675944
10,"[ 2.58584314e-01 -6.94798676e-02 -3.26337717e+00  6.09634758e-02
 -6.78058707e-01  2.48148700e-02 -1.38753454e-01  7.67605373e-03
 -2.90766371e-02  2.16487816e-03 -6.23661834e-03]",0.99259991514476431096
